bus_name,lat,lon
Bus 1,20.0121682,73.7536647
Bus 1,20.0120876,73.7549246
Bus 1,20.0120645,73.7558165
Bus 1,20.0120569,73.7559572
Bus 1,20.011913,73.7559397
Bus 1,20.0114717,73.7558822
Bus 1,20.0112091,73.755857
Bus 1,20.008576,73.7554923
Bus 1,20.0085561,73.7554962
Bus 1,20.0084559,73.7557997
Bus 1,20.0080757,73.7567212
Bus 1,20.00776,73.757483
Bus 1,20.0077652,73.7574983
Bus 1,20.0077521,73.7575433
Bus 1,20.0077397,73.7575528
Bus 1,20.007675,73.7575282
Bus 1,20.007671,73.7575117
Bus 1,20.0074888,73.7574338
Bus 1,20.0061973,73.7572196
Bus 1,20.0052351,73.757428
Bus 1,20.0042923,73.7579533
Bus 1,20.0040811,73.7580616
Bus 1,20.0039983,73.7580759
Bus 1,20.0039468,73.7580638
Bus 1,20.0035864,73.7581481
Bus 1,20.0034123,73.758191
Bus 1,20.002382,73.759112
Bus 1,20.0020588,73.7596348
Bus 1,20.0012241,73.7605587
Bus 1,19.9999743,73.7619735
Bus 1,19.9990447,73.7630919
Bus 1,19.9989564,73.7632062
Bus 1,19.9986312,73.7636137
Bus 1,19.9984673,73.7638536
Bus 1,19.9984249,73.7639039
Bus 1,19.9983706,73.7638897
Bus 1,19.9983558,73.7638215
Bus 1,19.9980105,73.7637954
Bus 1,19.9977313,73.7637497
Bus 1,19.9970849,73.7636451
Bus 1,19.9967085,73.7636077
Bus 1,19.9965345,73.7635904
Bus 1,19.9963265,73.7635698
Bus 1,19.9958135,73.7635232
Bus 1,19.9954572,73.7635017
Bus 1,19.9952847,73.7634913
Bus 1,19.9946918,73.7634554
Bus 1,19.9947146,73.7649038
Bus 1,19.9946219,73.764872
Bus 1,19.9944576,73.7648702
Bus 1,19.9934163,73.7650445
Bus 1,19.9923642,73.7652242
Bus 1,19.9921932,73.7652551
Bus 1,19.99208,73.7652755
Bus 1,19.9919145,73.7653054
Bus 1,19.9918251,73.7653216
Bus 1,19.9917625,73.7651747
Bus 1,19.9910341,73.7638448
Bus 1,19.9906548,73.7637345
Bus 1,19.9893257,73.76651
Bus 1,19.988742,73.7675693
Bus 1,19.9877921,73.7691896
